Threat ID,Threat,Impact,Priority,Primary Controls / Validation
THR-001,Cross-Event resource access / IDOR,Critical,Critical,"SEC-003, SEC-005; SV-001, SV-006"
THR-002,Event-role privilege escalation,Critical,Critical,"SEC-003, SEC-008; SV-002, SV-003, SV-013"
THR-003,Invitation-token theft,High,Critical,"SEC-004, SEC-006; SV-005, SV-015"
THR-004,Invitation/token enumeration,High,High,"SEC-004, SEC-009; SV-004"
THR-005,Guest scope escape,High,Critical,"SEC-003, SEC-004; SV-006"
THR-006,CSRF against authenticated browser sessions,High,High,"SEC-005; SV-007, SV-008"
THR-007,Unauthorized API/request replay,High,High,"SEC-004, SEC-005, SEC-006; SV-009, SV-011"
THR-008,Forged provider webhook,High,Critical,SEC-006; SV-010
THR-009,Webhook replay,Medium/High,High,"SEC-006, SEC-009; SV-011"
THR-010,Malicious import/file processing,High,High,"SEC-005, SEC-009; SV-012"
THR-011,Stored/reflected script injection,High,High,SEC-005; SV-012 + implementation tests
THR-012,SQL/database injection,Critical,Critical,SEC-005; SV-012 + implementation tests
THR-013,Sensitive data exposure in API/secondary stores,High,High,"SEC-003, SEC-007; SV-001, SV-013, SV-016"
THR-014,Secrets leaked through logs/config/history,Critical,Critical,"SEC-006, SEC-008; SV-015"
THR-015,Unauthorized membership/ownership change,Critical,Critical,"SEC-003, SEC-008; SV-003"
THR-016,Duplicate/concurrent business mutation,High,High,SEC-005; SV-009
THR-017,Audit/history tampering,High,High,SEC-008; SV-018
THR-018,Reception account compromise,Medium/High,High,"SEC-003, SEC-007, SEC-009; SV-013"
THR-019,Resource exhaustion / abuse,Medium/High,Medium/High,"SEC-005, SEC-009; SV-004, SV-012, SV-017"
THR-020,Compromised/failing third-party provider,High,High,"SEC-006, SEC-009; SV-017"
THR-021,Vulnerable WordPress/plugin/hosting ecosystem,Critical,High,"SEC-001, SEC-006, SEC-008, SEC-009; blast-radius controls"
THR-022,Unauthorized archived-Event mutation,High,High,"SEC-003, SEC-005; SV-014"
